time,min,max,prec
-662720400,3.4,10.5,47.8
-662634000,3.4,16.8,0.0
-662547600,1.4,9.3,6.7
-662461200,3.2,13.9,0.0
-662374800,0.9,9.2,0.0
-662288400,-0.8,9.8,0.0
-662202000,-3.6,10.7,0.0
-662115600,-0.6,9.8,0.0
-662029200,0.3,10.7,0.0
-661942800,-1.8,8.8,0.0
-661856400,-2.3,10.6,0.0
-661770000,-0.8,10.6,0.0
-661683600,0.2,13.6,0.0
-661597200,3.3,9.3,0.0
-661510800,2.2,7.2,0.0
-661424400,0.9,9.6,0.0
-661338000,-1.6,8.5,0.0
-661251600,-3.0,11.3,0.0
-661165200,-1.8,8.5,0.0
-661078800,0.8,11.3,0.0
-660992400,-1.6,11.7,0.0
-660906000,0.0,13.9,0.0
-660819600,-0.8,16.2,0.0
-660733200,-0.3,13.6,0.0
-660646800,2.0,14.3,0.0
-660560400,1.2,11.9,0.0
-660474000,-2.2,12.0,0.0
-660387600,-1.6,13.2,0.0
-660301200,-1.8,14.1,0.0
-660214800,3.1,19.1,0.0
-660128400,3.2,13.9,0.0
-660042000,7.6,13.8,0.0
-659955600,7.3,14.0,0.4
-659869200,7.0,9.3,7.0
-659782800,6.9,16.4,2.8
-659696400,1.0,13.4,0.0
-659610000,-1.6,12.7,0.0
-659523600,-0.3,11.3,0.0
-659437200,-1.3,10.2,0.0
-659350800,-2.4,11.0,0.0
-659264400,-0.6,4.2,2.0
-659178000,-4.0,10.7,0.0
-659091600,3.3,9.4,50.7
-659005200,5.1,17.4,0.0
-658918800,3.8,11.9,0.0
-658832400,1.9,10.8,0.0
-658746000,0.0,10.3,0.0
-658659600,-0.2,10.3,0.0
-658573200,-2.0,11.7,0.0
-658486800,1.4,13.3,0.0
-658400400,-0.6,15.6,0.0
-658314000,4.5,13.4,0.0
-658227600,3.3,8.0,0.1
-658141200,1.8,8.1,0.1
-658054800,-1.7,10.8,0.0
-657968400,4.1,14.2,7.0
-657882000,6.8,11.4,0.2
-657795600,5.4,9.9,0.6
-657709200,0.2,9.2,0.0
-657622800,-1.3,9.6,0.0
-657536400,-2.2,14.0,0.0
-657450000,0.5,8.7,0.0
-657363600,-0.8,12.1,0.0
-657277200,1.2,16.3,1.3
-657190800,4.4,12.4,0.9
-657104400,1.8,12.8,0.0
-657018000,-0.6,10.6,0.0
-656931600,4.5,12.1,1.9
-656845200,2.9,20.6,0.0
-656758800,8.7,15.6,0.0
-656672400,6.2,16.6,0.0
-656586000,3.2,10.6,4.4
-656499600,0.6,7.9,19.5
-656413200,2.4,5.8,4.0
-656326800,0.1,9.7,0.0
-656240400,-0.2,10.3,0.0
-656154000,2.5,18.5,10.4
-656067600,-0.2,9.1,0.0
-655981200,0.6,11.3,0.0
-655894800,1.6,9.3,0.0
-655808400,1.6,7.6,0.4
-655722000,2.7,9.8,0.0
-655635600,1.5,9.7,0.0
-655549200,0.9,12.6,0.0
-655462800,3.6,13.7,0.0
-655376400,1.8,7.2,5.8
-655290000,1.8,12.8,0.3
-655203600,3.6,13.5,5.2
-655117200,1.7,15.0,0.0
-655030800,4.7,14.2,2.7
-654944400,5.6,19.2,2.7
-654858000,3.8,14.0,0.0
-654771600,3.6,7.5,11.5
-654685200,7.4,18.2,30.1
-654598800,6.6,15.6,0.0
-654512400,5.7,11.3,7.8
-654426000,1.8,17.9,0.0
-654339600,1.6,16.4,0.0
-654253200,4.2,17.9,0.0
-654166800,6.5,18.5,0.8
-654080400,5.8,13.1,23.7
-653994000,6.0,16.2,1.6
-653907600,4.6,16.1,3.9
-653821200,7.2,16.8,1.6
-653734800,6.0,15.5,0.0
-653648400,4.6,14.8,0.0
-653562000,2.7,16.6,0.0
-653475600,6.3,20.1,0.1
-653389200,12.8,19.7,7.0
-653302800,11.3,23.0,0.0
-653216400,13.2,17.2,10.1
-653130000,11.3,23.0,0.0
-653043600,11.5,15.7,5.5
-652957200,9.9,22.2,0.0
-652870800,11.5,22.3,0.0
-652784400,8.9,21.1,0.0
-652698000,10.9,14.1,14.1
-652611600,10.8,20.9,0.0
-652525200,7.9,18.1,0.0
-652438800,7.3,19.9,0.0
-652352400,12.6,16.4,2.8
-652266000,12.3,20.9,0.0
-652179600,8.2,21.0,0.0
-652093200,9.0,22.2,0.0
-652006800,12.9,22.5,0.0
-651920400,16.3,23.6,0.8
-651834000,14.5,21.4,0.0
-651747600,15.2,26.6,0.0
-651661200,10.9,23.9,0.0
-651574800,13.5,25.8,0.0
-651488400,13.7,27.6,0.0
-651402000,14.1,24.6,0.2
-651315600,18.2,26.0,14.1
-651229200,16.2,25.2,16.0
-651142800,12.6,18.0,0.2
-651056400,11.9,23.4,0.0
-650970000,12.7,26.2,0.0
-650883600,16.3,24.8,0.0
-650797200,17.3,23.8,0.0
-650710800,14.0,18.6,31.3
-650624400,11.8,26.5,0.0
-650538000,11.8,24.6,0.0
-650451600,15.6,18.6,14.4
-650365200,15.0,23.6,25.2
-650278800,15.9,24.4,3.2
-650192400,15.7,26.0,0.0
-650106000,13.2,25.4,0.0
-650019600,14.9,24.3,0.0
-649933200,13.8,25.0,0.0
-649846800,15.7,24.3,0.3
-649760400,15.9,20.9,1.2
-649674000,14.8,24.4,0.0
-649587600,12.9,22.8,0.0
-649501200,14.6,21.5,0.0
-649414800,14.0,23.7,0.0
-649328400,17.4,24.1,0.1
-649242000,17.5,26.6,0.0
-649155600,15.3,19.5,35.5
-649069200,12.3,16.7,14.2
-648982800,11.3,13.8,18.8
-648896400,11.4,20.8,17.5
-648810000,16.3,25.3,0.0
-648723600,16.6,26.3,0.0
-648637200,16.7,25.8,0.0
-648550800,18.3,24.2,0.0
-648464400,16.9,25.5,0.0
-648378000,17.6,20.9,27.5
-648291600,17.5,24.3,0.0
-648205200,19.1,24.8,0.4
-648118800,19.3,21.0,98.7
-648032400,17.1,20.4,8.1
-647946000,16.6,18.7,22.8
-647859600,17.6,27.0,22.0
-647773200,20.5,30.1,0.0
-647686800,19.5,24.3,0.0
-647600400,15.5,22.3,2.2
-647514000,15.4,23.5,0.0
-647427600,16.2,22.8,0.0
-647341200,15.1,24.7,0.0
-647254800,18.3,27.0,0.0
-647168400,18.3,20.9,16.5
-647082000,18.6,28.5,0.0
-646995600,19.0,23.6,0.1
-646909200,16.7,20.4,6.3
-646822800,15.5,24.2,3.8
-646736400,17.6,27.2,0.7
-646650000,20.3,22.3,50.7
-646563600,19.8,28.2,0.4
-646477200,20.3,26.8,2.7
-646390800,19.6,29.2,0.0
-646304400,20.3,29.3,0.0
-646218000,22.8,28.3,0.0
-646131600,22.9,29.7,0.0
-646045200,23.1,29.8,0.0
-645958800,22.5,30.2,0.0
-645872400,22.6,31.3,0.0
-645786000,22.6,31.8,0.0
-645699600,22.9,31.8,0.0
-645613200,23.5,33.4,0.0
-645526800,25.2,33.2,0.0
-645440400,25.1,33.2,0.0
-645354000,25.2,33.8,0.0
-645267600,23.7,32.2,0.0
-645181200,23.8,33.6,0.0
-645094800,24.8,33.2,0.0
-645008400,23.4,32.4,0.0
-644922000,22.6,26.6,0.8
-644835600,22.1,29.5,0.0
-644749200,23.6,31.4,11.1
-644662800,24.8,31.5,4.0
-644576400,22.5,31.6,0.2
-644490000,20.7,27.0,0.8
-644403600,21.5,31.3,0.0
-644317200,22.6,30.1,0.0
-644230800,21.4,28.6,0.0
-644144400,23.0,30.9,0.0
-644058000,22.2,32.4,0.0
-643971600,23.0,33.1,0.0
-643885200,24.0,33.4,0.0
-643798800,24.2,33.7,0.0
-643712400,23.6,31.9,0.0
-643626000,23.1,33.5,0.0
-643539600,21.7,33.2,0.0
-643453200,21.5,31.9,0.0
-643366800,23.9,33.7,0.0
-643280400,23.3,32.5,0.0
-643194000,23.5,33.3,0.0
-643107600,23.4,31.5,1.5
-643021200,21.6,30.0,0.0
-642934800,21.3,31.9,1.3
-642848400,24.3,28.1,7.6
-642762000,23.4,30.7,1.6
-642675600,24.3,34.1,0.0
-642589200,23.9,31.9,0.0
-642502800,23.5,32.0,0.0
-642416400,19.9,28.7,141.0
-642330000,19.6,27.9,24.3
-642243600,20.7,29.9,0.0
-642157200,23.2,30.9,0.0
-642070800,24.9,30.4,8.3
-641984400,24.6,30.9,0.0
-641898000,24.3,32.0,5.1
-641811600,23.4,27.8,62.5
-641725200,24.3,28.9,2.4
-641638800,21.3,24.6,95.4
-641552400,21.1,31.3,1.0
-641466000,22.5,28.6,0.0
-641379600,20.9,29.0,0.0
-641293200,18.3,28.0,0.0
-641206800,16.2,29.2,0.0
-641120400,18.3,29.4,0.0
-641034000,21.8,31.1,0.0
-640947600,19.6,25.1,24.7
-640861200,17.2,22.3,8.2
-640774800,16.4,21.7,6.6
-640688400,16.9,23.5,3.4
-640602000,16.7,23.7,0.5
-640515600,15.6,26.2,0.0
-640429200,16.0,26.5,0.0
-640342800,18.5,29.6,0.0
-640256400,19.5,25.7,0.1
-640170000,18.7,28.7,0.5
-640083600,18.1,31.3,0.0
-639997200,19.9,24.3,2.7
-639910800,18.4,25.0,33.8
-639824400,19.5,26.9,19.1
-639738000,18.4,26.5,0.0
-639651600,17.0,26.7,0.0
-639565200,17.4,28.9,0.0
-639478800,18.1,31.0,1.6
-639392400,17.7,25.8,0.1
-639306000,16.1,25.3,0.0
-639219600,16.6,25.8,0.0
-639133200,17.2,21.7,0.1
-639046800,14.1,24.0,0.0
-638960400,11.7,23.4,0.0
-638874000,13.9,16.7,2.6
-638787600,14.1,16.7,37.6
-638701200,13.2,15.9,24.4
-638614800,14.4,23.5,0.1
-638528400,14.1,23.3,0.0
-638442000,14.6,19.9,48.2
-638355600,14.1,24.3,11.5
-638269200,13.5,23.7,0.0
-638182800,14.0,21.6,0.0
-638096400,15.4,21.2,0.1
-638010000,15.0,21.6,1.4
-637923600,13.8,17.1,10.9
-637837200,13.1,23.1,0.0
