time,temp,prec
631123200,4.4,0.0
631126800,3.2,0.0
631130400,3.7,0.0
631134000,2.9,0.0
631137600,2.6,0.0
631141200,1.4,0.0
631144800,2.3,0.0
631148400,2.7,0.0
631152000,3.3,0.0
631155600,5.8,0.0
631159200,6.9,0.0
631162800,7.9,0.0
631166400,8.8,0.0
631170000,9.3,0.0
631173600,8.7,0.0
631177200,8.6,0.0
631180800,8.2,0.0
631184400,7.5,0.0
631188000,7.0,0.0
631191600,6.0,0.0
631195200,5.0,0.0
631198800,4.2,0.0
631202400,4.4,0.0
631206000,3.8,0.0
631209600,2.6,0.0
631213200,1.6,0.0
631216800,2.6,0.0
631220400,3.5,0.0
631224000,2.6,0.0
631227600,1.7,0.0
631231200,1.7,0.0
631234800,2.7,0.0
631238400,3.1,0.0
631242000,4.8,0.0
631245600,5.7,0.0
631249200,6.9,0.0
631252800,9.0,0.0
631256400,8.6,0.0
631260000,8.8,0.0
631263600,8.7,0.0
631267200,8.9,0.0
631270800,8.4,0.0
631274400,8.4,0.0
631278000,8.0,0.0
631281600,7.6,0.0
631285200,6.4,0.0
631288800,5.4,0.0
631292400,4.7,0.0
631296000,4.4,0.0
631299600,4.2,0.0
631303200,3.6,0.0
631306800,3.0,0.0
631310400,2.5,0.0
631314000,3.2,0.0
631317600,3.4,0.0
631321200,3.3,0.0
631324800,4.0,0.0
631328400,6.2,0.0
631332000,6.6,0.0
631335600,8.0,0.0
631339200,8.8,0.0
631342800,8.8,0.0
631346400,8.9,0.0
631350000,8.8,0.0
631353600,8.6,0.0
631357200,8.4,0.0
631360800,7.5,0.0
631364400,6.3,0.0
631368000,5.6,0.0
631371600,5.5,0.0
631375200,5.3,0.0
631378800,4.8,0.0
631382400,5.0,0.0
631386000,4.7,0.0
631389600,3.8,0.0
631393200,3.7,0.0
631396800,4.3,0.0
631400400,3.2,0.0
631404000,2.8,0.0
631407600,3.6,0.0
631411200,4.7,0.0
631414800,6.4,0.0
631418400,7.2,0.0
631422000,8.2,0.0
631425600,8.9,0.0
631429200,8.9,0.0
631432800,8.7,0.0
631436400,8.4,0.0
631440000,7.8,0.0
631443600,6.5,0.0
631447200,6.1,0.0
631450800,5.4,0.0
631454400,5.0,0.0
631458000,5.4,0.0
631461600,4.9,0.0
631465200,5.1,0.0
631468800,4.5,0.0
631472400,4.2,0.0
631476000,4.1,0.0
631479600,3.6,0.0
631483200,3.3,0.0
631486800,2.3,0.0
631490400,2.8,0.0
631494000,3.2,0.0
631497600,4.9,0.0
631501200,7.0,0.0
631504800,8.3,0.0
631508400,9.4,0.0
631512000,9.5,0.0
631515600,10.2,0.0
631519200,9.8,0.0
631522800,9.3,0.0
631526400,9.1,0.0
631530000,9.0,0.0
631533600,8.8,0.0
631537200,8.9,0.0
631540800,8.7,0.0
631544400,6.4,0.0
631548000,5.8,0.0
631551600,6.1,0.0
631555200,4.4,0.0
631558800,3.3,0.0
631562400,2.7,0.0
631566000,3.2,0.0
631569600,3.4,0.0
631573200,1.2,0.0
631576800,1.7,0.0
631580400,3.0,0.0
631584000,6.9,0.0
631587600,11.0,0.0
631591200,13.0,0.0
631594800,14.5,0.0
631598400,15.6,0.0
631602000,16.0,0.0
631605600,15.0,0.0
631609200,14.1,0.0
631612800,13.1,0.0
