epoch_time,temp_min,temp_max,prec
-2966403600,-2.8,6.6,114.8
-2963725200,-1.3,8.2,115.9
-2961219600,2.2,13.6,141.1
-2958541200,6.4,17.4,121.6
-2955949200,11.6,21.7,152.5
-2953270800,13.7,22.8,276.0
-2950678800,19.3,28.6,150.0
-2948000400,21.0,31.6,65.2
-2945322000,18.4,26.8,357.9
-2942730000,9.3,20.3,157.4
-2940051600,2.8,15.8,38.0
-2937459600,-0.7,11.0,65.1
-2934781200,-2.1,8.8,46.5
-2932102800,-1.7,8.7,59.2
-2929683600,0.3,11.3,124.7
-2927005200,7.1,19.1,26.7
-2924413200,11.1,21.5,118.1
-2921734800,17.4,26.0,113.8
-2919142800,21.5,31.1,83.3
-2916464400,21.1,30.5,52.1
-2913786000,16.5,25.7,273.9
-2911194000,9.7,21.3,204.5
-2908515600,4.4,14.4,69.0
-2905923600,1.8,10.2,145.5
-2903245200,-1.6,7.2,94.5
-2900566800,-1.8,7.1,93.0
-2898147600,1.7,12.9,60.2
-2895469200,7.1,16.2,84.8
-2892877200,13.2,22.7,188.0
-2890198800,15.8,24.1,205.1
-2887606800,22.3,29.8,85.4
-2884928400,21.2,28.5,152.0
-2882250000,19.4,26.3,460.9
-2879658000,11.6,20.2,132.7
-2876979600,5.9,14.2,198.6
-2874387600,0.0,10.8,9.0
-2871709200,-1.4,9.0,76.3
-2869030800,0.6,10.9,109.6
-2866611600,2.9,13.0,99.8
-2863933200,7.0,17.1,141.2
-2861341200,14.1,21.9,191.3
-2858662800,18.1,25.2,206.9
-2856070800,22.3,30.4,80.0
-2853392400,22.5,31.2,73.3
-2850714000,17.2,25.4,158.0
-2848122000,10.8,19.3,208.3
-2845443600,3.9,15.7,48.9
-2842851600,2.5,14.1,99.1
-2840173200,-2.4,8.8,20.2
-2837494800,1.6,10.1,163.2
-2834989200,2.7,13.8,186.5
-2832310800,7.0,16.7,153.8
-2829718800,11.9,22.6,170.7
-2827040400,15.7,23.9,181.5
-2824448400,20.8,27.9,253.5
-2821770000,21.4,29.6,181.4
-2819091600,17.9,27.0,91.5
-2816499600,12.1,21.6,222.9
-2813821200,3.3,16.8,60.3
-2811229200,-2.8,11.1,0.2
-2808550800,-4.1,8.9,44.2
-2805872400,-2.1,9.4,60.6
-2803453200,-0.7,10.5,166.8
-2800774800,4.6,16.9,112.8
